metric	stage_order	score	CVB3	IVIG	delta_CVB3_minus_IVIG
median	4	Kyn_AHR_myeloid_score_z	-0.0494132824242115	-0.07503782585263252	0.02562454342842102
median	4	myeloid_inflammation_score_expr	0.1427813470363617	0.0	0.1427813470363617
median	5	AHR_regulon_proxy_score_expr	0.0	0.0	0.0
median	5	AHR_response_score_expr	0.0	0.0	0.0
median	5	KYN_metabolism_score_expr	0.0	0.0	0.0
median	5	Kyn_AHR_axis_score_expr	-0.3979548949322178	-0.43285007651972246	0.03489518158750465
median	5	Kyn_AHR_myeloid_score_expr	-0.4429965631219277	-0.18668816037584562	-0.2563084027460821
median	5	Kyn_AHR_myeloid_score_z	-0.11671055853366852	-0.06155003607273102	-0.0551605224609375
median	5	myeloid_inflammation_score_expr	0.0	0.1555682122707367	-0.1555682122707367
median	6	AHR_regulon_proxy_score_expr	0.19065769016742706	0.12416108697652817	0.0664966031908989
median	6	AHR_response_score_expr	0.09969473630189896	0.0	0.09969473630189896
median	6	KYN_metabolism_score_expr	0.0	0.0	0.0
median	6	Kyn_AHR_axis_score_expr	-0.11895483806153184	-0.19408502615696716	0.07513018809543531
median	6	Kyn_AHR_myeloid_score_expr	-0.0768559804150406	-0.12098616793918812	0.04413018752414752
median	6	Kyn_AHR_myeloid_score_z	-0.034286800771951675	-0.06367313861846924	0.029386337846517563
median	6	myeloid_inflammation_score_expr	0.45431146025657654	0.16927841305732727	0.28503304719924927
median	7	AHR_regulon_proxy_score_expr	0.0	0.1292761266231537	-0.1292761266231537
median	7	AHR_response_score_expr	0.0	0.0	0.0
median	7	KYN_metabolism_score_expr	0.0	0.0	0.0
median	7	Kyn_AHR_axis_score_expr	-0.4406687944497824	-0.23265916251665442	-0.208009631933128
median	7	Kyn_AHR_myeloid_score_expr	-0.2178195405269886	-0.12370963336363922	-0.09410990716334938
median	7	Kyn_AHR_myeloid_score_z	-0.055971696972846985	-0.05535031110048294	-0.0006213858723640442
median	7	myeloid_inflammation_score_expr	0.22403165698051453	0.1926451027393341	0.03138655424118042
q90	1	AHR_regulon_proxy_score_expr	0.34734768867492677	0.2849493384361267	0.06239835023880008
q90	1	AHR_response_score_expr	0.20997664332389832	0.19900571107864376	0.010970932245254555
q90	1	KYN_metabolism_score_expr	0.0	0.0	0.0
q90	1	Kyn_AHR_axis_score_expr	0.9067290133443211	0.9523943220274823	-0.04566530868316121
q90	1	Kyn_AHR_myeloid_score_expr	0.8568599354754555	0.8977225181401243	-0.0408625826646688
q90	1	Kyn_AHR_myeloid_score_z	0.22259130477905273	0.22535089552402487	-0.0027595907449721457
q90	1	myeloid_inflammation_score_expr	0.4091840982437134	0.3121014893054962	0.09708260893821719
q90	2	AHR_regulon_proxy_score_expr	0.22202026844024667	0.2585468798875809	-0.03652661144733424
q90	2	AHR_response_score_expr	0.19247157871723175	0.18893614411354065	0.003535434603691101
q90	2	KYN_metabolism_score_expr	0.0	0.0	0.0
q90	2	Kyn_AHR_axis_score_expr	0.8735931996363142	0.9558988687881499	-0.08230566915183568
q90	2	Kyn_AHR_myeloid_score_expr	0.8339808541616043	0.886894041196864	-0.05291318703525971
q90	2	Kyn_AHR_myeloid_score_z	0.2307810008525849	0.2349277243018153	-0.004146723449230394
q90	2	myeloid_inflammation_score_expr	0.29968082308769234	0.2897275388240814	0.009953284263610918
q90	3	AHR_regulon_proxy_score_expr	0.33435627818107605	0.2675650417804718	0.06679123640060425
q90	3	AHR_response_score_expr	0.3006207197904587	0.19115501046180722	0.10946570932865146
q90	3	KYN_metabolism_score_expr	0.0	0.0	0.0
q90	3	Kyn_AHR_axis_score_expr	0.9281901203323819	0.9293740295613887	-0.0011839092290067965
q90	3	Kyn_AHR_myeloid_score_expr	0.8716723524183071	0.8836435990003894	-0.011971246582082262
q90	3	Kyn_AHR_myeloid_score_z	0.2500954866409302	0.22590475082397457	0.024190735816955605
q90	3	myeloid_inflammation_score_expr	0.4602764844894409	0.3054807782173157	0.15479570627212524
q90	4	AHR_regulon_proxy_score_expr	0.29974061250686646	0.24497563391923904	0.05476497858762741
q90	4	AHR_response_score_expr	0.26432567238807675	0.22315894067287445	0.0411667317152023
q90	4	KYN_metabolism_score_expr	0.0	0.0	0.0
q90	4	Kyn_AHR_axis_score_expr	0.9168220336794817	0.9419243019886385	-0.02510226830915685
q90	4	Kyn_AHR_myeloid_score_expr	0.8612369785421342	0.8541906757461486	0.007046302795985615
q90	4	Kyn_AHR_myeloid_score_z	0.23957580924034116	0.23175532668828963	0.007820482552051533
q90	4	myeloid_inflammation_score_expr	0.39245397448539726	0.33868086338043213	0.05377311110496513
q90	5	AHR_regulon_proxy_score_expr	0.24425958096981049	0.2633309602737426	-0.0190713793039321
q90	5	AHR_response_score_expr	0.2745882481336594	0.2065013200044632	0.0680869281291962
q90	5	KYN_metabolism_score_expr	0.0	0.0	0.0
q90	5	Kyn_AHR_axis_score_expr	0.9648414456930782	0.957598383537953	0.007243062155125157
q90	5	Kyn_AHR_myeloid_score_expr	0.8300645282925518	0.8735759444678008	-0.04351141617524901
q90	5	Kyn_AHR_myeloid_score_z	0.23008398711681385	0.23984015882015228	-0.009756171703338423
q90	5	myeloid_inflammation_score_expr	0.30011014640331274	0.43662548065185547	-0.13651533424854273
q90	6	AHR_regulon_proxy_score_expr	0.4062402009963989	0.33227249681949617	0.07396770417690274
q90	6	AHR_response_score_expr	0.3023215234279633	0.2062124133110048	0.09610911011695852
q90	6	KYN_metabolism_score_expr	0.0	0.0	0.0
q90	6	Kyn_AHR_axis_score_expr	0.906534083546088	0.9547804337010689	-0.04824635015498091
q90	6	Kyn_AHR_myeloid_score_expr	0.8415859330487937	0.9063343275470557	-0.06474839449826197
q90	6	Kyn_AHR_myeloid_score_z	0.26173775196075455	0.27167189717292795	-0.009934145212173395
q90	6	myeloid_inflammation_score_expr	0.8771964311599731	0.4797785043716431	0.39741792678833004
q90	7	AHR_regulon_proxy_score_expr	0.34681372046470654	0.34156972765922566	0.005243992805480879
q90	7	AHR_response_score_expr	0.2782643139362335	0.20455470979213736	0.07370960414409616
q90	7	KYN_metabolism_score_expr	0.0	0.0	0.0
q90	7	Kyn_AHR_axis_score_expr	0.9522232154365042	0.9357840973994483	0.01643911803705589
q90	7	Kyn_AHR_myeloid_score_expr	0.8653074723410275	0.8998118342298591	-0.03450436188883166
q90	7	Kyn_AHR_myeloid_score_z	0.24857027232646947	0.271803879737854	-0.023233607411384555
q90	7	myeloid_inflammation_score_expr	0.6156891822814943	0.5465172410011292	0.06917194128036508
q95	1	AHR_regulon_proxy_score_expr	0.4131134778261185	0.34935759454965587	0.06375588327646264
q95	1	AHR_response_score_expr	0.27085862606763844	0.26065535694360703	0.010203269124031411
