sample_id	group	stage	stage_order	score	threshold_level	threshold	n_bins	n_hotspot_bins	hotspot_fraction	hotspot_mean_score
CVB3d3	CVB3_myocarditis	day3	3	myeloid_inflammation_score_expr	control_q99	0.4943439552187893	31416	2542	0.08091418385536032	0.6311676741162217
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_axis_score_expr	control_q90	0.9517981377246238	31416	3031	0.0964795008912656	1.5771163652234457
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_axis_score_expr	control_q95	1.3959670116263057	31416	1405	0.04472243442831678	2.0829122951057935
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_axis_score_expr	control_q99	2.6721515122805193	31416	238	0.007575757575757576	3.3798574517916014
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_myeloid_score_expr	control_q90	0.8336501514140824	31416	3399	0.10819327731092437	1.3288125316515704
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_myeloid_score_expr	control_q95	1.29531375666958	31416	1300	0.04138018843901197	1.8029613890252327
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_myeloid_score_expr	control_q99	2.215933295130221	31416	225	0.007161955691367456	2.723879995148625
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_myeloid_score_z	control_q90	0.19353895187377934	31416	4319	0.1374777183600713	0.3864941532122203
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_myeloid_score_z	control_q95	0.34967803061008423	31416	1718	0.054685510567863506	0.5766905224226129
CVB3d3	CVB3_myocarditis	day3	3	Kyn_AHR_myeloid_score_z	control_q99	0.8090997970104206	31416	212	0.006748153806977336	1.1931517337853055
CVB3d4	CVB3_myocarditis	day4	4	KYN_metabolism_score_expr	control_q90	0.0	30363	505	0.016632085103580014	0.19764071756070203
CVB3d4	CVB3_myocarditis	day4	4	KYN_metabolism_score_expr	control_q95	0.0	30363	505	0.016632085103580014	0.19764071756070203
CVB3d4	CVB3_myocarditis	day4	4	KYN_metabolism_score_expr	control_q99	0.0	30363	505	0.016632085103580014	0.19764071756070203
CVB3d4	CVB3_myocarditis	day4	4	AHR_response_score_expr	control_q90	0.2275528907775879	30363	4236	0.1395119059381484	0.3336687959603986
CVB3d4	CVB3_myocarditis	day4	4	AHR_response_score_expr	control_q95	0.2783159330487248	30363	2650	0.08727727826631097	0.3831828269306219
CVB3d4	CVB3_myocarditis	day4	4	AHR_response_score_expr	control_q99	0.4071645021438584	30363	799	0.02631492276784244	0.5064199769004564
CVB3d4	CVB3_myocarditis	day4	4	AHR_regulon_proxy_score_expr	control_q90	0.23245754837989807	30363	5458	0.1797582584066133	0.33412351821282704
CVB3d4	CVB3_myocarditis	day4	4	AHR_regulon_proxy_score_expr	control_q95	0.30866452008485784	30363	2793	0.09198695781049303	0.3971118710286891
