dataset	sample_id	group	stage	file_role	path	filename	size_bytes	size_gb	guessed_columns	first_nonempty_line
STT0000127	IVIGd3	IVIG_treated	day3	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000931/STTS0001503/IVIGd3.bin50.gem.gz	IVIGd3.bin50.gem.gz	350406175	0.32634	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	IVIGd3	IVIG_treated	day3	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000931/STTS0001503/IVIGd3.gem.gz	IVIGd3.gem.gz	747661883	0.69631	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	IVIGd4	IVIG_treated	day4	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000932/STTS0001504/Final.IVIGd4.TissueCut.gem.gz	Final.IVIGd4.TissueCut.gem.gz	183551581	0.17095	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	IVIGd4	IVIG_treated	day4	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000932/STTS0001504/IVIGd4.bin50.gem.gz	IVIGd4.bin50.gem.gz	222792166	0.20749	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	IVIGd4	IVIG_treated	day4	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000932/STTS0001504/IVIGd4.gem.gz	IVIGd4.gem.gz	371481157	0.34597	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	IVIGd5	IVIG_treated	day5	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000933/STTS0001505/Final.IVIGd5.TissueCut.gem.gz	Final.IVIGd5.TissueCut.gem.gz	245367443	0.22852	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	IVIGd5	IVIG_treated	day5	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000933/STTS0001505/IVIGd5.bin50.gem.gz	IVIGd5.bin50.gem.gz	306879294	0.2858	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	IVIGd5	IVIG_treated	day5	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000933/STTS0001505/IVIGd5.gem.gz	IVIGd5.gem.gz	478327551	0.44548	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	IVIGd6	IVIG_treated	day6	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000934/STTS0001506/Final.IVIGd6.TissueCut.gem.gz	Final.IVIGd6.TissueCut.gem.gz	365720275	0.3406	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	IVIGd6	IVIG_treated	day6	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000934/STTS0001506/IVIGd6.bin50.gem.gz	IVIGd6.bin50.gem.gz	440853217	0.41058	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	IVIGd6	IVIG_treated	day6	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000934/STTS0001506/IVIGd6.gem.gz	IVIGd6.gem.gz	678168098	0.63159	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
STT0000127	IVIGd7	IVIG_treated	day7	tissuecut_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000935/STTS0001507/Final.IVIGd7.TissueCut.gem.gz	Final.IVIGd7.TissueCut.gem.gz	485263174	0.45194	geneID|x|y|MIDCount|ExonCount	"geneID	x	y	MIDCount	ExonCount"
STT0000127	IVIGd7	IVIG_treated	day7	bin50_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000935/STTS0001507/IVIGd7.bin50.gem.gz	IVIGd7.bin50.gem.gz	539398893	0.50235	geneID|x|y|counts|cell|geneIdx|cellIdx	geneID,x,y,counts,cell,geneIdx,cellIdx
STT0000127	IVIGd7	IVIG_treated	day7	raw_gem	/home/data1/wenhuai/data/STT0000127/Analysis/STSA0000935/STTS0001507/IVIGd7.gem.gz	IVIGd7.gem.gz	875370618	0.81525	geneID|x|y|MIDCount|ExonCount	#FileFormat=GEMv0.1
