sample_id	group	stage	stage_order	score	n_bins	mean	median	q75	q90	q95	q99	top5_mean	top1_mean	max
CVB3d5	CVB3_myocarditis	day5	5	AHR_regulon_proxy_score_expr	21462	0.07763004290446321	0.0	0.16644622385501862	0.24425958096981049	0.32344430685043335	0.4776661765575403	0.4195401242047937	0.5530912501867428	0.9001896381378174
CVB3d5	CVB3_myocarditis	day5	5	myeloid_inflammation_score_expr	21462	0.09020751144057629	0.0	0.20360131189227104	0.30011014640331274	0.3889370799064637	0.6303463143110274	0.5444938648124424	0.7806766493375912	1.5125757455825806
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_axis_score_expr	21462	1.853992787371429e-17	-0.3979548949322178	0.20264277800535835	0.9648414456930782	1.3497309148732166	2.605321413494891	2.129214076449812	3.5856790105873664	8.205255740048996
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_myeloid_score_expr	21462	-7.945683374448982e-18	-0.4429965631219277	0.3617352385275042	0.8300645282925518	1.2485207190915493	2.1378461109643982	1.8312622050637548	2.8281870306518235	6.009411413113982
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_myeloid_score_z	21462	-5.3565758615024e-08	-0.11671055853366852	0.06607232242822647	0.23008398711681385	0.3571636274456978	0.6730347424745554	0.598706066885918	1.1222537051799686	4.201882839202881
CVB3d6	CVB3_myocarditis	day6	6	KYN_metabolism_score_expr	37907	0.004793835719104657	0.0	0.0	0.0	0.0	0.16731973886489931	0.004793835719104657	0.21374176297532885	0.5430198311805725
CVB3d6	CVB3_myocarditis	day6	6	AHR_response_score_expr	37907	0.11426656279415831	0.09969473630189896	0.19082239270210266	0.3023215234279633	0.3755437195301055	0.5145054161548616	0.4617369726520299	0.5893229608473025	0.949840784072876
CVB3d6	CVB3_myocarditis	day6	6	AHR_regulon_proxy_score_expr	37907	0.2038116053064789	0.19065769016742706	0.29890507459640503	0.4062402009963989	0.47013674080371853	0.6013294363021855	0.5501286566791906	0.6692543883072702	1.0583631992340088
CVB3d6	CVB3_myocarditis	day6	6	myeloid_inflammation_score_expr	37907	0.48805619486162355	0.45431146025657654	0.653884619474411	0.8771964311599731	1.0348598003387444	1.384494819641114	1.24506199623965	1.5528905303854692	2.6114749908447266
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_axis_score_expr	37907	-7.497746967685126e-19	-0.11895483806153184	0.3691024777997958	0.906534083546088	1.286826183565271	2.2655350639069343	1.8830505853826633	2.877779951594904	6.3136783745141285
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_myeloid_score_expr	37907	-1.6495043328907277e-17	-0.0768559804150406	0.3693059259928497	0.8415859330487937	1.1603344499687007	1.9047759720793145	1.6197162635904567	2.370370964581206	4.327093939210563
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_myeloid_score_z	37907	-1.645717126605684e-07	-0.034286800771951675	0.10415729135274887	0.26173775196075455	0.3800699472427366	0.6936300754547143	0.5943135099351909	1.0059683475055192	3.7384002208709717
CVB3d7	CVB3_myocarditis	day7	7	KYN_metabolism_score_expr	37984	0.0030110174807286	0.0	0.0	0.0	0.0	0.19790524363517745	0.0030110174807286	0.2755220134791575	0.48481619358062744
CVB3d7	CVB3_myocarditis	day7	7	AHR_response_score_expr	37984	0.058274818712605356	0.0	0.0	0.2782643139362335	0.3444617986679077	0.5188588458299637	0.4462958691403591	0.6163594700788196	1.0410740375518799
CVB3d7	CVB3_myocarditis	day7	7	AHR_regulon_proxy_score_expr	37984	0.12059935254751757	0.0	0.2137918397784233	0.34681372046470654	0.43153467476367946	0.5995291471481321	0.5350026349801766	0.683980207066787	1.2029238939285278
CVB3d7	CVB3_myocarditis	day7	7	myeloid_inflammation_score_expr	37984	0.23849044234367134	0.22403165698051453	0.3822154700756073	0.6156891822814943	0.7589976996183395	1.0500131583213796	0.9341820179161272	1.1915525853633882	1.9324512481689453
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_axis_score_expr	37984	-1.3468585976918495e-17	-0.4406687944497824	0.1667661902464881	0.9522232154365042	1.326625204679611	2.6218240894459446	2.0816190745044048	3.3760999482674374	6.312419917881841
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_myeloid_score_expr	37984	-1.3468585976918495e-17	-0.2178195405269886	0.33677787182850405	0.8653074723410275	1.240390774071501	2.1790304099367135	1.8102367237295331	2.722948206656893	4.855634349040773
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_myeloid_score_z	37984	3.643051749401315e-08	-0.055971696972846985	0.07564636506140232	0.24857027232646947	0.3824274599552154	0.7220471942424763	0.6206033174144594	1.0799481228778236	4.255034923553467
Control	control	control	0	KYN_metabolism_score_expr	36392	0.002213300750966543	0.0	0.0	0.0	0.0	0.0	0.002213300750966543	0.002213300750966543	0.5008227229118347
