dataset	claim	cell_type_v0	score	positive_group	negative_group	positive_mean	negative_mean	diff_positive_minus_negative	direction_flag
GSE166489	MIS-C > pediatric_healthy	pDC	myeloid_inflammation_score	MIS-C	pediatric_healthy	-0.0763610575988298	-0.0005088082682244514	-0.07585224933060535	opposes_expected_direction
GSE166489	MIS-C > pediatric_healthy	pDC	AHR_response_score	MIS-C	pediatric_healthy	-0.012912291615031001	-0.020249209004817168	0.007336917389786167	supports_expected_direction
GSE166489	MIS-C > pediatric_healthy	pDC	KYN_metabolism_score	MIS-C	pediatric_healthy	0.02473336250026575	0.0001341174135988833	0.024599245086666867	supports_expected_direction
GSE167029	MIS-C_MYO > control	Monocyte	Kyn_AHR_myeloid_score	MIS-C_MYO	control	0.6074770125832639	0.7715111456039224	-0.1640341330206585	opposes_expected_direction
GSE167029	MIS-C_MYO > control	Monocyte	Kyn_AHR_axis_score	MIS-C_MYO	control	0.43443174968800485	0.5887320244890297	-0.15430027480102487	opposes_expected_direction
GSE167029	MIS-C_MYO > control	Monocyte	myeloid_inflammation_score	MIS-C_MYO	control	0.6556229109006602	0.734051366282999	-0.07842845538233889	opposes_expected_direction
GSE167029	MIS-C_MYO > control	Monocyte	AHR_response_score	MIS-C_MYO	control	0.09389747770177996	0.0869803910262183	0.006917086675561665	supports_expected_direction
GSE167029	MIS-C_MYO > control	Monocyte	KYN_metabolism_score	MIS-C_MYO	control	0.0102466109139678	0.021775248608565227	-0.011528637694597426	opposes_expected_direction
GSE167029	MIS-C_MYO > control	CD16_Monocyte	Kyn_AHR_myeloid_score	MIS-C_MYO	control	-0.05668621118442962	0.12245817194073322	-0.17914438312516284	opposes_expected_direction
GSE167029	MIS-C_MYO > control	CD16_Monocyte	Kyn_AHR_axis_score	MIS-C_MYO	control	-0.004836686741130497	0.1632521993709216	-0.1680888861120521	opposes_expected_direction
GSE167029	MIS-C_MYO > control	CD16_Monocyte	myeloid_inflammation_score	MIS-C_MYO	control	0.1122256816500008	0.19839616288014678	-0.08617048123014598	opposes_expected_direction
GSE167029	MIS-C_MYO > control	CD16_Monocyte	AHR_response_score	MIS-C_MYO	control	-0.007404054350682816	-0.018624226920250866	0.01122017256956805	supports_expected_direction
GSE167029	MIS-C_MYO > control	CD16_Monocyte	KYN_metabolism_score	MIS-C_MYO	control	0.013119035587081282	0.030414841206384692	-0.01729580561930341	opposes_expected_direction
GSE167029	MIS-C_MYO > control	DC	Kyn_AHR_myeloid_score	MIS-C_MYO	control	-0.06953994759959016	0.0711058612779662	-0.14064580887755634	opposes_expected_direction
GSE167029	MIS-C_MYO > control	DC	Kyn_AHR_axis_score	MIS-C_MYO	control	0.012114535689563832	0.18277161319887708	-0.17065707750931325	opposes_expected_direction
GSE167029	MIS-C_MYO > control	DC	myeloid_inflammation_score	MIS-C_MYO	control	0.07071798390462729	0.09125984578602166	-0.02054186188139437	opposes_expected_direction
GSE167029	MIS-C_MYO > control	DC	AHR_response_score	MIS-C_MYO	control	0.011743377581971215	0.011443853739036624	0.0002995238429345914	supports_expected_direction
GSE167029	MIS-C_MYO > control	DC	KYN_metabolism_score	MIS-C_MYO	control	0.007883220565835918	0.0269632768817453	-0.01908005631590938	opposes_expected_direction
GSE167029	MIS-C_MYO > control	pDC	Kyn_AHR_myeloid_score	MIS-C_MYO	control	-0.2584748959767513	-0.25165295674357663	-0.006821939233174645	opposes_expected_direction
GSE167029	MIS-C_MYO > control	pDC	Kyn_AHR_axis_score	MIS-C_MYO	control	-0.18572679372617829	-0.12832197747310944	-0.05740481625306884	opposes_expected_direction
GSE167029	MIS-C_MYO > control	pDC	myeloid_inflammation_score	MIS-C_MYO	control	0.004879556845625567	-0.05394174859588218	0.05882130544150775	supports_expected_direction
GSE167029	MIS-C_MYO > control	pDC	AHR_response_score	MIS-C_MYO	control	-0.028133210091348417	-0.047475205947718944	0.019341995856370527	supports_expected_direction
GSE167029	MIS-C_MYO > control	pDC	KYN_metabolism_score	MIS-C_MYO	control	-0.0019329586869065833	0.017990209812515836	-0.019923168499422418	opposes_expected_direction
